id;title;description
159;"Six fishermen feared dead after trawler capsized in Qld";"Searches by sea and air for six missing fisherman have been suspended, fading hopes the men will return to land alive after their trawler capsized off the coast of Queensland on Monday night."
160;"Grand Hotel Continental is the Sistine Chapel of hotels";"The Sistine Chapel is home to the world's most famous ceiling. But Italy also has the next best thing: The Grand Hotel Continental in Siena, which boasts epic frescos of its own."
161;"Microsoft rolls out new Windows 10 update and laptops";"Microsoft has begun rolling out an update to its Windows 10 operating system, hoping to spark enthusiasm for its virtual- and augmented-reality ambitions.The..."
162;"Ex-BBC producer 'fled across roof during London drug raid'";"Alexander Parkin stashed more than £13,000 worth of drugs - including crystal meth, ecstasy and GBL - and offered them for sale at his fourth fourth-floor flat in Manchester Street, Marylebone, it is claimed."
163;"Trump says drug czar nominee Tom Marino is 'withdrawing'";"'Rep. Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!' the president tweeted."
164;"America Ferrara says she was sexually abused aged nine";"Ferrera, 33, said she lived with 'shame and guilt' over the attack for years afterwards and had to regularly see her abuser, who smiled and waved at her, 'expecting me to shut my mouth and smile back.'"
165;"Tanzanian opposition figure out of intensive care after attack";"Tanzanian opposition figure Tundu Lissu, who was shot and critically injured at his home last month, is now out of intensive care, his party CHADEMA said..."
166;"Sacked Anthony Scaramucci brands Trump 'political genius'";"Donald Trump's former communications chief who was axed after just 11 days, said the President is a 'political genius' who won the election by using Twitter when he spoke at at the Oxford Union."
167;"Chelsea cannot lose again in Premier League: Marcos Alonso";"The Blues, who play Roma in the Champions League on Wednesday night, lost 2-1 at bottom club Crystal Palace last Saturday."
168;"EuroMillions winner Jane Park bags herself football star";"The 21-year-old spent the weekend meeting Jordan's parents and enjoying a carvery in Dudley. The couple packed on the PDA as they were spotted together after going public in September."
169;"Type 2 diabetes breakthrough";"Leicester Diabetes Centre experts found semaglutide helped 71 per cent of patients shed pounds - it is believed this is the first type 2 diabetes pill to instigate weight loss. It also halts the condition."
170;"Sean Hughes wrote poignant poem about his own death";"Comedian Sean Hughes revealed how he wanted to have his ashes 'scattered in a bar' in a poignant poem he wrote about his own death 13 years ago."
171;"SPECIAL REPORT-They fled danger for a high-stakes bet on U.S. immigration courts";"By Mica Rosenberg, Reade Levinson and Ryan McNeillOAKLAND, California, Oct 17 (Reuters) - The two Honduran  women told nearly identical stories to the..."
172;"Activist RBR courts fellow investors for Credit Suisse break-up";"By John Revill, Oliver Hirt and Joshua FranklinZURICH, Oct 17 (Reuters) - Activist investor RBR Capital  Advisors sought on Tuesday to rally support for a..."
173;"Capital rules 'exacerbating' clearing house risks -CFTC commissioner";"By Michelle PriceWASHINGTON, Oct 17 (Reuters) - Bank capital rules are  concentrating risk inside the clearing system and making  clearing houses..."
174;"Brexit divisions resurface as minister says no deal is 'unthinkable'";"LONDON, Oct 17 (Reuters) - British interior minister Amber  Rudd said on Tuesday it was ""unthinkable"" that Britain and the  European Union would fail to get..."
175;"Mission impossible? Merkel's coalition conundrum just got harder";"By Paul CarrelBERLIN, Oct 17 (Reuters) - She has earned a reputation as  Europe's chief crisis manager. Now Germany's Angela Merkel must  forge a government..."
176;"EU business leaders urge Britain to hasten pace in Brexit talks";"BRUSSELS, Oct 17 (Reuters) - European employers group  BusinessEurope urged the British government on Tuesday to speed  up negotiations with the European..."
177;"Cobie Frost's boyfriend is MKR Della Muscat's ex-husband";"Daily Mail Australia can exclusively reveal the identity of Bachelor reject Cobie Frost's new mystery man as being Chris Whearty, the former husband of My Kitchen Rules star Della Muscat."
178;"'Weinstein tried to ""teach"" Vietnamese actress sex scenes'";"Vu Thong Phuong, 32, met Weinstein in Saigon in 2008 to discuss her small role in the film Shanghai when she said he appeared in his presidential suite 'smiling' in a towel."
179;"Canary island La Palma sees 352 earthquakes in ten days";"Scientists are now monitoring the seismic activity on the island of La Palma 24 hours per day, and are set to carry out tests on the slopes of the island's active volcano - Cumbre Vieja."
180;"Chelsea train with Alvaro Morata in their ranks for Roma";"Alvaro Morata is training with Chelsea on the eve of their Champions League clash with Roma in a significant boost to Antonio Conte's shell-shocked side."
181;"325-pound woman charged with killing girl by sitting on her";"PENSACOLA, Fla. (AP) - A 325-pound (150-kilogram) Florida woman is charged with killing her 9-year-old cousin by sitting on the child as punishment.Veronica..."
182;"Richard Hannon-trained Barney Roy gears up for Asco";"On Saturday, he will walk through the gates at Ascot with his head high ready to saddle a runner in Barney Roy with a leading chance of landing the feature £1.3million Champion Stakes."
183;"Adelaide mother claims son was sexually assaulted by boy";"A mother claims a young boy sexually abused her five-year-old son behind a shed while they were at an Adelaide kindergarten together."
184;"Bill Murray helps couple announce pregnancy in Chicago";"Bill Murray was out and about in Chicago last week, were the Oscar-nominated actor caught the Cubs take on the Washington Nationals in the National League Divisional Series."
185;"Zuma fires critic in S.Africa reshuffle";"South African President Jacob Zuma sacked a vocal critic from his cabinet on Tuesday, a move set to deepen tensions before the ANC chooses a new party leader..."
186;"Pennsylvania college offers cut players reinstatement";"Three football players who were cut from the team at Division III Albright College in Pennsylvania have been offered reinstatement. One was cut for kneeling during the national anthem."
187;"Sam Wood shares photo of newborn daughter Willow";"Last week, former Bachelor stars Sam Wood and fiancée Snezana Markoski, welcomed their daughter Willow Wendy into the world."
188;"Gerard Butler speaks about terrifying LA motorbike crash";"The 47-year-old explained he was lucky to come away with only a fractured foot and a few bruises, as the crash sent him 'flying through the air' and could have easily 'taken him out'."
189;"Manchester holidaymaker banned from easyJet for five years";"Engineer Paul Brady, 39, of Droylsden, Greater Manchester, was detained after he and his partner Loretta Moran, 34, got drunk on lager as they were about to board a jet to Copenhagen."
190;"U.S. Justice Dept will review new law's impact on DEA powers -official";"WASHINGTON, Oct 17 (Reuters) - U.S. Deputy Attorney General  Rod Rosenstein said on Tuesday he was very concerned about a  report that said new legislation..."
191;"India orders Delhi power plant, generator shutdown as air worsens";"By Tommy WilkesNEW DELHI, Oct 17 (Reuters) - The Indian government ordered  diesel generators and a power plant in Delhi to be shut down on  Tuesday as air..."
192;"Soccer-Italy to face Sweden in World Cup playoff";"By Brian HomewoodZURICH, Oct 17 (Reuters) - Four-times world champions Italy were given a tough draw against Sweden on Tuesday in their two-legged playoff..."
193;"Goldman offers buyback, dividend details for first time";"NEW YORK, Oct 17 (Reuters) - Goldman Sachs Group Inc  offered investors a window into its capital plans for the first  time, detailing the bank's regulatory..."
194;"Britain's top firms fail to tackle slavery with 'tick box' culture";"By Umberto BacchiLONDON, Oct 17 (Thomson Reuters Foundation) - The majority  of Britain's biggest firms have taken a ""tick box"" approach to a  landmark..."
195;"Missouri team makes shot from other side of the court";"A recreational basketball team in Missouri shocked fans and the other team when they made a shot from the other side of the court."
196;"Mumsnet users enter debate over pyjamas on the school run";"A mother took to to Mumsnet to ask whether it's acceptable to wear your nightwear on the school run - and she received nearly 300 responses."
197;"North Korea warns nuclear war 'may break out any moment'";"North Korea said the 'entire US mainland is within our firing range' and threatened 'severe punishment' for America if it 'dares to invade out sacred territory'."
198;"California woman stole from fire evacuees in Santa Rosa";"Police identified suspect Katie Lehnhard, 31, after a fire victim reported fraudulent charges on her bank account and a cancelled check led police to the parolee from Petaluma, California."
199;"Afghan officials: Taliban wave of attacks kills at least 74";"KABUL, Afghanistan (AP) - The Taliban unleashed a wave of attacks across Afghanistan on Tuesday, targeting police compounds and government facilities with..."
200;"Delaware indicts 18 inmates in deadly prison riot";"DOVER, Del. (AP) - Delaware has indicted eighteen inmates in a deadly riot and hostage-taking at the state's maximum-security prison, most of them on murder..."
201;"Trump says he's 'close' to naming new HHS nominee";"WASHINGTON (AP) - President Donald Trump says he's ""more than close"" to naming a new health and human services secretary.But Trump tells Fox News Radio's..."
202;"Paul 'Fatty' Vautin joked Erin Molan would take his job";"Axed NRL Footy Show veteran Paul 'Fatty' Vautin predicted co-star Erin Molan's rise to fame, after previously hinting he would have to watch his back as the 'talent' could one day take his job."
203;"Lorde wears a racy number in Berlin for her Melodrama tour";"New Zealand songstress Lorde took to the stage in Berlin on Sunday night wearing a racy number as she continued her Melodrama world tour."
204;"Police in Belfast desperately search for missing mother";"A missing Belfast woman who sparked a desperate police search after posting a cryptic Facebook post has been found alive following a public appeal, police have confirmed"
205;"Wanted: Zimbabwe hangman -- 50 people apply";"At least 50 people want to become Zimbabwe's hangman, a job that fell vacant over a decade ago, officials said Tuesday, stressing that applicants were ""very..."
206;"Keith Lemon transforms into It clown Pennywise";"Keith Lemon was more demonic than comedic as he drove fans wild with his Celebrity Juice Halloween transformation."
207;"Qantas unveils the new Dreamliners to fly Perth to Paris";"Perth has been earmarked as a potential travel hub between Europe and Australia, with non-stop Qantas flights to Paris and Germany a very real future possibility."
208;"Rescuers save 200lbs tortoise from Napa, California fires";"A video shows the moment four rescuers save a 200 pound 85-year-old tortoise from the California wildfires. They moved the animal onto a tarp and then to a wheelbarrow."
209;"Transgender footy player refused permission to play AFLW";"Transgender footy player Hannah Mouncey has been refused permission to play in the women's league. She formerly represented Australia in men's handball, is 190cm tall and weighs 100kg."
210;"Britain's May to address EU leaders on Brexit on Thursday";"BRUSSELS, Oct 17 (Reuters) - British Prime Minister Theresa  May will address her European Union peers on her strategy for  Britain's exit from the EU at a..."
211;"Google to be anchor tenant at Toronto innovation hub - government source";"By Andrea HopkinsTORONTO, Oct 17 (Reuters) - Alphabet Inc, the  owner of Google, will be the anchor tenant at a site being  developed on Toronto's waterfront..."
212;"Ireland rugby internationals to stand trial over rape charges";"BELFAST, Oct 17 (Reuters) - Two Ireland rugby internationals accused of raping a woman in Belfast last year will stand trial over the charges, a Northern..."
213;"Graham Norton lists his best and worst interviewees";"Irish television presenter Graham Norton, 54, reveals his noteworthy celebrity interviews, in Wednesday's The Daily Telegraph."
214;"Trump's claim about predecessors, fallen troops disputed";"WASHINGTON (AP) - For U.S. presidents, meeting the families of military personnel killed in war is about as wrenching as the presidency gets. President..."
215;"AFL to decide if transgender player can take part in AFLW";"The AFL is set to make a historic ruling on whether a transgender player can take part in the AFL Women's competition. Hannah Mouncey has nominated for the draft after transitioning in 2015."
216;"US homebuilder sentiment rises in October";"U.S. homebuilders are feeling more optimistic than they have in months, looking past a recent slowdown in new home sales and the risk of rising labor and..."
217;"The Latest: US coalition: IS pockets remain in Syria's Raqqa";"BEIRUT (AP) - The Latest on developments in Syria as Islamic State militants make their last stand in the city of Raqqa (all times local):4:35 p.m.The..."
218;"AFL right to block transgender player from women's league";"A transgender activist believes the AFL were right in blocking transgender woman Hannah Mouncey from playing in the women's league."
219;"Meryl Streep reveals her beauty secret that costs nothing";"Meryl Streep reportedly refuses to touch her face as part of her beauty regime, says to journalist Fi Glover. Touching your face can spread bacteria and cause disease, doctors claim."
220;"Real Madrid fans see Harry Kane as the ultimate test";"Tottenham have never scored against Real Madrid in Europe but such has been the build-up Harry Kane has been given, there is a sense that will change on Tuesday night."
221;"Anthony Joshua to fight Carlos Takam as injury forces out Kubrat Pulev";"A shoulder injury has ruled out the 36-year-old Bulgarian."
222;"Napoli coach Maurizio Sarri has worked his way to the top";"Sarri's entire career in football has been about extracting the highest of standards from clubs with the smallest of reputations. Now he is determined to make his mark with Napoli."
223;"Israel advances plans for 1,292 West Bank settler homes in new push";"Israeli authorities advanced plans Tuesday for 1,292 settler homes in a new push by Prime Minister Benjamin Netanyahu's government to expand settlements in..."
224;"Bill Clinton mocks Brexit voters during speech in Ireland";"Bill Clinton spoke in Dublin on Tuesday as he received an honorary degree, warning against division in the world and holding up Brexit as an example of people focusing on differences."
225;"Brooklyn Beckham speeds around New York City on his bike";"The 18-year-old appeared to be enjoying a day off from his studies as he cruised around the Big Apple with ease - with his new tattoo tribute to his father David, visible on his left hand."
226;"The Only Way Is Essex: Megan McKenna flaunts legs";"The Only Way Is Essex star, 24, didn't let it show when she made a glamorous arrival at the Easilocks launch in London on Tuesday."
227;"Jennifer Lawrence was made to do a 'naked line-up'";"Speaking at ELLE's Women in Hollywood event in Los Angeles on Monday night, the 27-year-old actress revealed that as she was starting out in her career she was told to crash diet."
228;"Jennifer Lawrence and Margot Robbie at ELLE Hollywood bash";"It is perhaps fitting that a number of female stars at the top of their game should come together for the evening, following the recently shocking allegations against Harvey Weinstein."
229;"Ninety percent of Raqqa retaken from Islamic State: U.S. military";"WASHINGTON, Oct 17 (Reuters) - The U.S. military said on  Tuesday that it could only confirm that about 90 percent of the  Syrian city of Raqqa had been..."
230;"Netflix flirting near record on subscriber growth";"Oct 17 (Reuters) - Shares of Netflix Inc hit a  record high on Tuesday as  more subscribers around the globe  signed up for its popular original content in..."
231;"Google launches advanced Gmail security features for high-risk users";"By Dustin VolzOct 17 (Reuters) - Alphabet's Google Inc said on  Tuesday it would roll out an ""advanced protection program"" to  provide stronger email..."
232;"Sterling skids after Bank of England comments";"By Fanny PotkinLONDON, Oct 17 (Reuters) - Britain's pound slid to a  five-day low after comments by Bank of England policymakers were  interpreted by markets..."
233;"Human smuggler's guilty plea: 38 found in truck 10 dead";"The driver of a semitrailer packed with at least 39 immigrants, 10 of whom died, pleaded guilty Monday to making the deadly smuggling run."
234;"Joey Barton appears in Morrissey's music video";"Joey Barton has appeared in Morrissey's video for his new single 'Spent the Day in Bed'. Their friendship is believed to have started in 2011 when the footballer was invited to meet the singer at Glastonbury."
235;"Syrian commander says Raqqa has been captured from militants";"BEIRUT (AP) - U.S.-backed Syrian forces liberated the city of Raqqa on Tuesday from Islamic State militants, a senior commander said, in a major defeat for..."
236;"Nine's CEO speaks out after Lisa Wilkinson's shock exit";"Lisa Wilkinson revealed she was quitting the Today show on Monday, after reportedly demanding the Nine Network pay her the same wage as co-host Karl Stefanovic."
237;"Tickets for Concorde go on sale again 14 years later";"The Anglo-French supersonic plane, which could cross the Atlantic in three hours, can now be seen by the public at aviation heritage museum Aerospace Bristol, which opens today."
238;"Threat to Qatari banks liquidity fading: Fitch";"The threat to Qatari banks' funding and liquidity, triggered by withdrawals of foreign deposits amid a Saudi-led boycott of Doha, appears to be fading, Fitch..."
239;"Jenny McCarthy smooches on Donnie Wahlberg in New York";"The couple were seen sharing an intimate smooch on the arrivals carpet as they made a show of affection."
240;"Parents share their best simple DIY hacks";"From simple ways to keep little ones entertained at home to clever hacks for encouraging them to do their homework, exhausted mums and dads will be delighted with these handy hints."
241;"Maribor Q&A: Liverpool's Champions League opponents";"DOMINIC KING: Liverpool take a step into the unknown on Tuesday night when they play Maribor for the first time in their history."
242;"Sharapova loses to Rybarikova in Kremlin Cup return";"By Gabrielle Tetrault-FarberMOSCOW, Oct 17 (Reuters) - Maria Sharapova lost 7-6(3) 6-4 to Slovakia's Magdalena Rybarikova at the Kremlin Cup on Tuesday in..."
243;"Georgia May Jagger in Paris ahead of dad Sir Mick's gig";"The 25-year-old model looked typically chic in a silky green camisole as she strolled around the Champs Elysees, soaking up the culture with a  male companion."
244;"Trump stands by claim about calling families of the fallen";"'What the president was saying there is that are many different ways to reach out to these families. Sometimes you call, sometimes you write,' Conway said on Fox & Friends."
245;"Sharapova loses to Rybarikova at Kremlin Cup";"MOSCOW (AP) - Maria Sharapova was beaten by Magdalena Rybarikova in the first round of the Kremlin Cup on Tuesday, ending her bid for a second title in two..."
246;"EU: 1 million refugees in Turkey receive cash assistance";"ANKARA, Turkey (AP) - Officials say a European Union-funded project that provides cash assistance to the most vulnerable refugee families in Turkey has..."
247;"Man vows he's penniless in court; deputies find $4K on him";"COLUMBUS, Ohio (AP) - An Ohio defendant who vowed he was penniless and couldn't pay a fine now faces a big one after deputies escorting him from court found..."
248;"Piqapoo device clips onto dog's tail and collects its mess";"The strange gadget has been created by designers from a Tel Aviv-based startup, who crowdfunded the product on Indiegogo."
249;"Duchess of Cornwall mingles with stars of the big screen";"Camilla, 70, invited stars including Brian Blessed and Penelope Wilton at the launch of the Royal Voluntary Service's Our Amazing People campaign at Clarence House on Tuesday."
250;"IS 'caliphate' crumbles but group remains potent threat";"The fall of Raqa has boxed the Islamic State group into a small ""rump caliphate"" straddling the Iraqi-Syrian border, a remote but strategically key area its..."
251;"RHOC: Shannon Beador admits marriage failing after clash";"Shannon Beador seemed happier than ever last year after patching up her marriage woes and renewing her wedding vows with husband David on her Bravo reality show."
252;"Emily Ratajkowski parades abs in crop top in Los Angeles";"Unable to resist flashing a hint of flesh, the 26-year-old model still paraded her enviably taut and bronzed abs in a casual crop top."
253;"Brazil wins partial victory at WTO in Indonesia chicken dispute";"GENEVA, Oct 17 (Reuters) - Brazil won a partial victory at  the World Trade Organization on Tuesday in a ruling on  Indonesia's restrictions in the chicken..."
254;"German court sentences 88-year-old Holocaust denier to jail";"BERLIN, Oct 17 (Reuters) - A German court sentenced an  88-year-old woman to six months in prison on Monday for denying  the Holocaust and for inciting..."
255;"Trump: Drug czar nominee pulls his name from consideration";"WASHINGTON (AP) - Rep. Tom Marino, President Donald Trump's nominee to be the nation's drug czar, is withdrawing from consideration following reports that he..."
256;"TOWIE's Mark Wright debuts 'weird new American twang'";"Mark Wright left his British fanbase disappointed as he debuted an 'American twang' after posting a teaser on Instagram for his upcoming interview with actor Liam Neeson for Extra TV in the States."
257;"High winds bring down front of block of flats as Storm Ophelia hits country";"Scotland is braced for gusts of up to 70mph and flood warnings are in place on its west coast."
258;"`Delighted´ William and Kate expecting their baby in April";"Kate has been suffering from hyperemesis gravidarum - a severe form of morning sickness."
259;"Texas death row inmate deserves to die says his sister";"Anthony Shore, who was known as the Tourniquet Killer, strangled four young girls between 1986 and 2003 is due to die in the death chamber in Huntsville, Texas tomorrow night by lethal injection."
260;"Mayim Bialik apologizes for 'victim-blaiming'";"The Big Bang Theory star took to Facebook Live to further explain the op-ed piece she wrote for the New York Times on Friday in which she claimed she had not been targeted because of how she looks."
261;"'Please bring my son back': Anguished Somali families mourn";"MOGADISHU, Somalia (AP) - Anguished families gathered across Somalia's capital on Tuesday as funerals continued for the more than 300 people killed in one of..."
262;"Omnicom beats revenue estimates as N.America demand recovers";"By Arjun Panchadar and Sheila  DangOct 17 (Reuters) - Omnicom Group Inc's third-quarter  revenue topped analysts' estimates, as the advertising group ..."
263;"Raqqa - Islamic State's Syrian HQ has fallen";"BEIRUT, Oct 17 (Reuters) - U.S.-backed militias in Syria  have declared victory over Islamic State in its capital Raqqa, a  milestone in the fight to roll..."
264;"UK says needs 1,200 officials to register EU nationals after Brexit";"LONDON, Oct 17 (Reuters) - Britain will need a total of  1,200 government officials to help register millions of European  Union citizens living in the..."
265;"Ex-contractor sprays feces on produce in South Carolina";"Pau Hang, 41, was arrested on Sunday afternoon at a Harris Teeter in Charleston, South Carolina, after a manager spotted him spraying a brown liquid on produce."
266;"EU Brexit chief urges Britain to keep up the momentum";"BRUSSELS (AP) - The European Union's Brexit negotiator urged the British government Tuesday to keep up the momentum in negotiations on leaving the bloc if it..."
267;"Jennifer Lawrence reflects on harassment in early career";"BEVERLY HILLS, Calif. (AP) - Jennifer Lawrence says she was asked early in her career to lose 15 pounds in two weeks for a role and was forced to pose nude..."
268;"Bannon boosts Flake challenger, snubs Trump plea to back off";"DES MOINES, Iowa (AP) - Former presidential strategist Steve Bannon is rebuffing President Donald Trump's public plea for him to retreat in his war on the..."
269;"Too much exercise can kill you if you're a white man";"Researchers in Chicago assessed workouts over 25 years and made the surprising discovery that very active white men are 86 percent more likely to experience a buildup of plaque in the arteries."
270;"Disappointment as BBC makes Crimewatch a cold case after 33 years";"Daytime spin-off Crimewatch Roadshow will continue to be screened, the broadcaster said."
271;"Regulator agrees to MPs´ demands for legal scrutiny of RBS report";"FCA boss Andrew Bailey has agreed to a committee proposal to appoint a legal adviser to assess if the regulator´s summary is ""fair and balanced""."
272;"UK Weather: Hurricane Ophelia continues to batter Britain";"Scotland is braced for 70mph gusts and flooding with warnings in place for its west coast, while in England several trees were blocking the train line between Halifax and Bradford Inter."
273;"Trump's fortune slides by $600 mn on Forbes wealth list";"America's richest may be getting richer but President Donald Trump's fortune has slid by $600 million to $3.1 billion, according to a list of 400..."
274;"London headmaster apologises over gender-neutral toilets";"Adam Pettitt had overseen the conversion of lavatory facilities at Highgate School in North London saying it would help students who are 'gender fluid or don't wish to identify themselves with a gender.'"
275;"Spain's top court declares Catalan referendum illegal";"Spain's Constitutional Court ruled on Tuesday that Catalonia's disputed October 1 referendum was illegal because regional law backing the vote was against Spain's constitution."
276;"Sir Richard Branson targeted 'Michael Fallon' conman";"The fraudster wrote to the businessman on British Government headed notepaper before speaking to him and impersonating the Conservative minister."
277;"Hawaii woman overcomes self esteem by becoming mermaid";"Kari Roberts is a real life mermaid, and performs twice a week in Hawaii where she flicks her tail and performs underwater tricks. She hopes her performances will teach girls self-confidence."
278;"Air Berlin pilot's goodbye draws watchdog's scrutiny";"BERLIN, Oct 17 (Reuters) - A German aviation watchdog is  scrutinising a fly-past by Air Berlin's last long-haul  flight to its hub in Duesseldorf, which..."
279;"Wall Street banks look beyond trading to drive profits";"By Olivia OranNEW YORK, Oct 17 (Reuters) - Wall Street rivals Goldman  Sachs Group Inc and Morgan Stanley topped analyst  expectations on Tuesday, reporting..."
280;"Princess Eugenie touches down at LAX airport";"The Queen's granddaughter, 27, had barely a hair out of place as she navigated her way through the hectic arrival terminal at Los Angeles International airport."
281;"Ryder Cup captains tee off from high on Eiffel Tower";"Ryder Cup captains Thomas Bjorn and Jim Furyk continued their countdown to next year's showpiece match between Europe and the United States by playing the shot of a lifetime."
282;"Indian girl's cheeks swell due to mysterious condition";"Suman Kumari, 17, from a slum in Delhi, has seen her face slowly become disfigured - but doctors are baffled as to why it has happened. Her swollen face has caused her problems chewing."
283;"Skeletons with injuries reveal violence in the Andes";"Researchers made the discovery after digging up 104 remains of Andeans in a mysterious ceremonial complex called Pacopampa."
284;"Son of Malta car bomb victim describes finding her body";"Matthew Caruana Galizia, himself a journalist, said his mother, Daphne, had been assassinated in a car bomb on the island of Malta for doing her job in investigating alleged corruption."
285;"Thousands more Rohingya Muslims cross border into Bangladesh";"COX'S BAZAR, Bangladesh (AP) - Thousands more Rohingya Muslims are fleeing large-scale violence and persecution in Myanmar and crossing into Bangladesh,..."
286;"Chatham pitbull owners that savaged girl appear in court";"Michael Thornton, 26, and 28-year-old Hayley Eldridge's pitbull was said to have bitten the little girl’s face before clamping its jaws around her head in front of several horrified children in Kent."
287;"Carney: EU faces threat of financial services CHAOS";"Mark Carney said an 'uncooperative' Brexit would leave the European Union 'short' of the financial services it needs because banks would still be headquartered in London."
288;"Sweet Saba candy maker is selling boozy Campari ring pops";"Sweet Saba founder Maayan Zilberman collaborated with Campari on a special edition candy cocktail ring. They are $62 each and taste like the liquor. A percentage of proceeds go to charity."
289;"British companies to be protected from foreign takeovers";"Business Secretary Greg Clark will announce tougher rules to prevent some British energy, telecoms and technology firms falling into the hands of hostile powers from abroad."
290;"Paris Jackson poses in nothing but underwear for Instagram";"The 19-year-old Chanel muse stripped to nothing but her Calvin Klein briefs as she posed with her arms protecting her bust - alongside the empowering caption: 'Comfortable in my rolls'."
291;"Killer's 999 call after he stabbed his neighbour to death";"Paranoid schizophrenic Jeffrey Barry, 56, was found guilty today of murdering his neighbour Kamil Ahmad in a 'savage and sustained' knife attack in Bristol lasting more than 40 minutes."
292;"Moment Kirby the tortoise munches eats a strawberry";"A very sweet video shows the moment a Russian tortoise eats his first strawberry. Kirby the tortoise struggles to grab bites because he's so small, but his owner helps him out."
293;"US STOCKS-Wall St flat as losses in financials offset healthcare gains";"By Sruthi ShankarOct 17 (Reuters) - Wall Street opened flat on Tuesday as  gains in healthcare stocks were largely offset by losses in  financials, with an..."
294;"South African reshuffle irks ANC allies, Zuma confidant to oversee nuclear deal";"By Alexander WinningJOHANNESBURG, Oct 17 (Reuters) - South African President  Jacob Zuma made a close associate energy minister on Tuesday as  his government..."
295;"No end in sight for banks' bond trading blues: McGeever";"By Jamie McGeeverLONDON, Oct 17 (Reuters) - The big five U.S. banks have  published their third quarter earnings and -- as expected -- all  reported a..."
296;"China's Qudian IPO seen priced above range - sources";"Oct 17 (Reuters) - Online micro-credit provider Qudian Inc's  initial public offering could be priced above the  expected range of $19-$22 per American..."
297;"Opera singer battles ex-boyfriend over £33m film";"Julia Kogan is locked in a High Court battle over claims she wrote Florence Foster Jenkins while in a 'loving relationship' with Nicholas Martin, but he claims she was 'simply a supportive girlfriend'."
298;"Andrea Riseborough reveals sexual harassment ordeal";"British actress Andrea Riseborough in Birdfman, and Hollywood blockbuster  Oblivion admitted has been psychologically damaged by sexual inappropriacy in the film industry."
299;"Businessman denies manslaughter over toxic slimming pills";"Bernard Rebelo, 30, and his partners Albert Huynh, 32, and Mary Roberts, 32, all from London, allegedly put food supplements on the market containing the fat-burning chemical dinitrophenol."
300;"Spain: Top court officially rules Catalan referendum illegal";"BARCELONA, Spain (AP) - Spain's top court on Tuesday officially ruled that Catalonia's disputed independence referendum was illegal because a regional law..."
301;"10 things to know as the NBA season gets underway - 17 October 2017";"Happy New Year, NBA.The 72nd regular season starts Tuesday night, when Boston heads to Cleveland and Houston goes to Golden State. Fans in Cleveland will boo..."
302;"Bristol house could be worth £1m because of Banksy art";"The mysterious street artist painted the image of a monkey jumping on a detonator in 1999 when a friend lived at the property in Bristol."
303;"Wedding caterer Alyssa Brown reveals how to save hundreds";"With catering costing between £40-£300 per head, event planner Alyssa Brown says there's some simple menu changes that will save you money without compromising on quality."
304;"US industrial output rises despite Harvey, Irma hits";"Output at US factories rebounded in September after August's steep plunge from the effects of Hurricane Harvey, the Federal Reserve reported Tuesday.Still,..."
305;"360 canisters of nitrous oxide 'nangs' inhaled by student";"The young Sydney woman, who is in rehabilitation learning how to walk again, is one of a growing number of people turning to the ultra-cheap and easily accessible substance."
306;"Alvaro Morata set to start for Chelsea against Roma";"Antonio Conte has hinted star striker Alvaro Morata will be thrown straight back into his starting line-up for Chelsea's European clash with Roma."
307;"China to take 70 percent stake in strategic port in Myanmar - official";"By Yimou Lee and Thu Thu AungYANGON, Oct 17 (Reuters) - China has agreed take a 70  percent stake in a strategically important sea port in Myanmar,  at the..."
308;"Croatia police seek criminal charges against Agrokor executives";"ZAGREB, Oct 17 (Reuters) - Croatian police are seeking  criminal charges against senior managers of Agrokor  who are under investigation for alleged..."
309;"NY burglar who targeted Hindu temple & churches jailed";"A 23-year-old man was sent to prison for 1.5 to 4.5 years on Monday after he was found guilty to burglary as a hate crime and other charges after plundering four houses of worship earlier this year."
310;"Rishard Matthews stays in locker room during anthem";"Tennessee Titans wide receiver Rishard Matthews stayed in the team's locker room during the playing of the national anthem ahead of Monday night's game against the Indianapolis Colts."
311;"Kaya Jones details Pussycat Doll sex abuse";"Kaya Jones, who left the Dolls after three years in 2005, told DailyMail.com in an exclusive interview she and other members of the scantily clad all-girl group were regularly abused by music industry executives."
312;"AP News Guide: Instability set to follow IS collapse";"BEIRUT (AP) - The Islamic State group, responsible for some of the worst atrocities perpetrated against civilians in recent history, appears on the verge of..."
313;"Simon Le Bon says Michael Hutchence 'didn't seem suicidal'";"He's the Duran Duran frontman who was close friends with Michael Hutchence."
314;"Americans may soon need a passport for domestic flights";"If these states don't comply with the Real ID Act by January, their residents will need to produce their passports for domestic air travel."
315;"Wiz Khalifa and girlfriend Izabela Guedes flash abs";"Wiz Khalifa and his stunning girlfriend Izabela Guedes both flashed their abs to the extreme as they stepped out for dinner in West Hollywood on Monday."
316;"Ophelia brings further disruption as hundreds of thousands left without power";"Ireland and Northern Ireland bore the brunt of the storm on Monday and Scotland is facing gusts of up to 70mph."
317;"Gwyneth Paltrow shimmers in silver dress at charity gala";"The actress, 45, added matching silver sandal heels and wore her golden long hair loose as she was honored for her community service at the 11th Annual God's Love We Deliver Golden Heart Awards."
